Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086261,2021,01,01,26.8
IDCJAC0016,086261,2021,01,02,15.6
IDCJAC0016,086261,2021,01,03,16.9
IDCJAC0016,086261,2021,01,04,7.9
IDCJAC0016,086261,2021,01,05,4.9
IDCJAC0016,086261,2021,01,06,10.3
IDCJAC0016,086261,2021,01,07,29.5
IDCJAC0016,086261,2021,01,08,31.6
IDCJAC0016,086261,2021,01,09,31.5
IDCJAC0016,086261,2021,01,10,30.6
IDCJAC0016,086261,2021,01,11,25.4
IDCJAC0016,086261,2021,01,12,20.0
IDCJAC0016,086261,2021,01,13,22.4
IDCJAC0016,086261,2021,01,14,15.1
IDCJAC0016,086261,2021,01,15,20.5
IDCJAC0016,086261,2021,01,16,10.1
IDCJAC0016,086261,2021,01,17,27.0
IDCJAC0016,086261,2021,01,18,16.2
IDCJAC0016,086261,2021,01,19,25.4
IDCJAC0016,086261,2021,01,20,30.5
IDCJAC0016,086261,2021,01,21,30.2
IDCJAC0016,086261,2021,01,22,29.4
IDCJAC0016,086261,2021,01,23,29.2
IDCJAC0016,086261,2021,01,24,25.5
IDCJAC0016,086261,2021,01,25,14.6
IDCJAC0016,086261,2021,01,26,5.9
IDCJAC0016,086261,2021,01,27,28.9
IDCJAC0016,086261,2021,01,28,13.1
IDCJAC0016,086261,2021,01,29,1.6
IDCJAC0016,086261,2021,01,30,13.7
IDCJAC0016,086261,2021,01,31,25.1
IDCJAC0016,086261,2021,02,01,10.1
IDCJAC0016,086261,2021,02,02,15.6
IDCJAC0016,086261,2021,02,03,28.5
IDCJAC0016,086261,2021,02,04,15.3
IDCJAC0016,086261,2021,02,05,16.8
IDCJAC0016,086261,2021,02,06,11.1
IDCJAC0016,086261,2021,02,07,8.3
IDCJAC0016,086261,2021,02,08,13.3
IDCJAC0016,086261,2021,02,09,27.6
IDCJAC0016,086261,2021,02,10,24.8
IDCJAC0016,086261,2021,02,11,15.0
IDCJAC0016,086261,2021,02,12,13.8
IDCJAC0016,086261,2021,02,13,10.3
IDCJAC0016,086261,2021,02,14,16.6
IDCJAC0016,086261,2021,02,15,24.8
IDCJAC0016,086261,2021,02,16,21.8
IDCJAC0016,086261,2021,02,17,25.1
IDCJAC0016,086261,2021,02,18,25.6
IDCJAC0016,086261,2021,02,19,25.7
IDCJAC0016,086261,2021,02,20,13.5
IDCJAC0016,086261,2021,02,21,4.6
IDCJAC0016,086261,2021,02,22,9.7
IDCJAC0016,086261,2021,02,23,21.4
IDCJAC0016,086261,2021,02,24,22.6
IDCJAC0016,086261,2021,02,25,19.8
IDCJAC0016,086261,2021,02,26,15.5
IDCJAC0016,086261,2021,02,27,12.2
IDCJAC0016,086261,2021,02,28,23.4
IDCJAC0016,086261,2021,03,01,12.7
IDCJAC0016,086261,2021,03,02,12.5
IDCJAC0016,086261,2021,03,03,9.0
IDCJAC0016,086261,2021,03,04,6.1
IDCJAC0016,086261,2021,03,05,9.1
IDCJAC0016,086261,2021,03,06,22.7
IDCJAC0016,086261,2021,03,07,19.0
IDCJAC0016,086261,2021,03,08,7.0
IDCJAC0016,086261,2021,03,09,9.3
IDCJAC0016,086261,2021,03,10,21.1
IDCJAC0016,086261,2021,03,11,14.3
IDCJAC0016,086261,2021,03,12,18.1
IDCJAC0016,086261,2021,03,13,5.6
IDCJAC0016,086261,2021,03,14,15.5
IDCJAC0016,086261,2021,03,15,11.6
IDCJAC0016,086261,2021,03,16,15.0
IDCJAC0016,086261,2021,03,17,19.9
IDCJAC0016,086261,2021,03,18,16.7
IDCJAC0016,086261,2021,03,19,19.0
IDCJAC0016,086261,2021,03,20,14.2
IDCJAC0016,086261,2021,03,21,7.6
IDCJAC0016,086261,2021,03,22,6.5
IDCJAC0016,086261,2021,03,23,8.4
IDCJAC0016,086261,2021,03,24,4.8
IDCJAC0016,086261,2021,03,25,8.8
IDCJAC0016,086261,2021,03,26,14.0
IDCJAC0016,086261,2021,03,27,8.4
IDCJAC0016,086261,2021,03,28,15.2
IDCJAC0016,086261,2021,03,29,13.2
IDCJAC0016,086261,2021,03,30,17.6
IDCJAC0016,086261,2021,03,31,17.4
IDCJAC0016,086261,2021,04,01,17.4
IDCJAC0016,086261,2021,04,02,17.2
IDCJAC0016,086261,2021,04,03,17.0
IDCJAC0016,086261,2021,04,04,16.8
IDCJAC0016,086261,2021,04,05,12.9
IDCJAC0016,086261,2021,04,06,6.6
IDCJAC0016,086261,2021,04,07,12.8
IDCJAC0016,086261,2021,04,08,15.0
IDCJAC0016,086261,2021,04,09,7.4
IDCJAC0016,086261,2021,04,10,6.1
IDCJAC0016,086261,2021,04,11,11.2
IDCJAC0016,086261,2021,04,12,9.2
IDCJAC0016,086261,2021,04,13,10.2
IDCJAC0016,086261,2021,04,14,9.1
IDCJAC0016,086261,2021,04,15,8.3
IDCJAC0016,086261,2021,04,16,5.0
IDCJAC0016,086261,2021,04,17,6.1
IDCJAC0016,086261,2021,04,18,6.7
IDCJAC0016,086261,2021,04,19,7.1
IDCJAC0016,086261,2021,04,20,5.6
IDCJAC0016,086261,2021,04,21,11.0
IDCJAC0016,086261,2021,04,22,4.8
IDCJAC0016,086261,2021,04,23,6.9
IDCJAC0016,086261,2021,04,24,4.3
IDCJAC0016,086261,2021,04,25,8.4
