READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 November 2020,3.91,1.38
02 November 2020,4.58,1.76
03 November 2020,1.61,1.81
04 November 2020,4.39,0.26
05 November 2020,3.71,1.39
06 November 2020,3.19,0.8
07 November 2020,6.25,1.55
08 November 2020,3.11,2.17
09 November 2020,1.4,2.26
10 November 2020,1.0,2.16
11 November 2020,1.79,0.55
12 November 2020,1.31,1.5
13 November 2020,1.96,1.5
14 November 2020,1.98,1.75
15 November 2020,2.79,1.3
16 November 2020,1.78,2.29
17 November 2020,1.7,1.93
18 November 2020,2.21,2.24
19 November 2020,1.58,2.02
20 November 2020,1.41,1.89
21 November 2020,2.06,1.55
22 November 2020,1.52,1.1
23 November 2020,2.5,1.03
24 November 2020,1.44,0.93
25 November 2020,1.31,2.21
26 November 2020,1.65,1.67
27 November 2020,1.18,2.11
28 November 2020,1.6,0.74
29 November 2020,1.61,1.22
30 November 2020,2.04,2.28
01 September 2020,10.32,0.92
02 September 2020,13.9,0.73
03 September 2020,9.41,0.79
04 September 2020,9.2,1.08
05 September 2020,9.76,0.84
06 September 2020,11.94,0.63
07 September 2020,6.45,1.23
08 September 2020,10.11,0.23
09 September 2020,10.09,0.92
10 September 2020,10.84,1.05
11 September 2020,7.45,1.04
12 September 2020,8.15,0.11
13 September 2020,8.47,0.96
14 September 2020,7.28,1.14
15 September 2020,4.8,1.38
16 September 2020,7.17,1.22
17 September 2020,6.28,0.58
18 September 2020,6.87,1.2
19 September 2020,3.86,0.83
20 September 2020,2.94,1.37
21 September 2020,5.86,0.51
22 September 2020,7.03,0.89
23 September 2020,9.36,0.84
24 September 2020,7.49,0.78
25 September 2020,15.29,0.35
26 September 2020,14.33,0.79
27 September 2020,6.37,1.49
28 September 2020,7.42,1.27
29 September 2020,9.3,0.98
30 September 2020,6.99,0.0
01 December 2020,1.96,5.47
02 December 2020,2.56,15.9
03 December 2020,1.26,21.23
04 December 2020,1.43,19.43
05 December 2020,1.22,5.9
06 December 2020,2.52,13.07
07 December 2020,2.71,11.22
08 December 2020,3.6,9.58
09 December 2020,2.23,18.28
10 December 2020,1.75,19.09
11 December 2020,2.08,21.19
12 December 2020,0.75,21.52
13 December 2020,1.36,18.0
14 December 2020,1.29,20.25
15 December 2020,1.92,17.26
16 December 2020,5.82,8.14
17 December 2020,1.44,14.9
18 December 2020,2.75,9.52
19 December 2020,1.56,12.69
20 December 2020,5.47,16.64
21 December 2020,3.51,6.92
22 December 2020,5.66,3.3
23 December 2020,5.0,7.76
24 December 2020,5.6,11.45
25 December 2020,4.37,15.4
26 December 2020,5.79,18.99
27 December 2020,2.44,6.3
28 December 2020,3.72,14.27
29 December 2020,3.4,19.74
30 December 2020,3.38,17.74
31 December 2020,4.49,3.75
01 October 2020,8.0,0.0
02 October 2020,6.39,0.0
03 October 2020,2.72,0.0
04 October 2020,4.41,0.0
05 October 2020,7.51,0.0
06 October 2020,10.42,0.0
07 October 2020,5.34,0.0
08 October 2020,9.77,0.0
09 October 2020,8.48,0.36
10 October 2020,8.33,1.45
11 October 2020,6.16,1.28
12 October 2020,5.85,1.61
13 October 2020,2.91,0.73
14 October 2020,2.52,1.84
15 October 2020,4.47,0.4
16 October 2020,5.54,1.72
17 October 2020,5.8,0.91
18 October 2020,9.15,0.67
19 October 2020,8.99,0.64
20 October 2020,4.09,0.84
21 October 2020,3.1,1.13
22 October 2020,3.04,1.67
23 October 2020,4.59,0.88
24 October 2020,7.18,0.61
25 October 2020,15.95,0.88
26 October 2020,7.64,1.41
27 October 2020,5.65,1.75
28 October 2020,5.16,1.63
29 October 2020,4.76,1.23
30 October 2020,3.89,1.18
31 October 2020,3.38,0.72
01 June 2020,0.27,0.2
02 June 2020,0.32,0.27
03 June 2020,0.27,0.43
04 June 2020,4.22,0.34
05 June 2020,0.26,0.48
06 June 2020,0.35,0.2
07 June 2020,0.29,0.48
08 June 2020,0.37,0.44
09 June 2020,0.24,0.45
10 June 2020,0.37,0.44
11 June 2020,0.5,0.41
12 June 2020,0.27,0.46
13 June 2020,0.98,0.24
14 June 2020,0.36,0.44
15 June 2020,0.43,0.48
16 June 2020,0.24,0.21
17 June 2020,0.33,0.43
18 June 2020,0.32,0.41
19 June 2020,0.24,0.41
20 June 2020,0.27,0.42
21 June 2020,1.7,0.28
22 June 2020,3.53,0.13
23 June 2020,3.41,0.17
24 June 2020,3.94,0.15
25 June 2020,3.39,0.34
26 June 2020,9.13,0.24
27 June 2020,9.77,0.3
28 June 2020,13.02,0.39
29 June 2020,17.38,0.24
30 June 2020,15.75,0.47
01 February 2021,3.06,6.99
02 February 2021,2.64,9.95
03 February 2021,3.24,18.66
04 February 2021,2.24,11.59
05 February 2021,3.15,10.44
06 February 2021,1.99,10.38
07 February 2021,4.04,8.77
08 February 2021,5.64,8.91
09 February 2021,3.02,17.90
10 February 2021,2.51,17.14
11 February 2021,2.33,7.82
12 February 2021,2.77,8.89
13 February 2021,6.66,8.22
14 February 2021,2.13,10.91
15 February 2021,3.85,14.97
16 February 2021,2.90,12.64
17 February 2021,2.98,12.67
18 February 2021,2.19,15.23
19 February 2021,3.66,11.73
20 February 2021,3.04,9.94
21 February 2021,2.54,3.54
22 February 2021,3.43,6.92
23 February 2021,6.53,13.02
24 February 2021,Not available,Not available
25 February 2021,Not available,Not available
26 February 2021,Not available,Not available
