READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 August 2020,13.58,0.37
02 August 2020,12.39,0.25
03 August 2020,9.79,0.47
04 August 2020,16.77,0.26
05 August 2020,12.66,0.46
06 August 2020,19.31,0.36
07 August 2020,16.75,0.22
08 August 2020,15.25,0.11
09 August 2020,19.79,0.05
10 August 2020,7.93,0.83
11 August 2020,16.71,0.44
12 August 2020,9.73,0.43
13 August 2020,5.15,0.65
14 August 2020,7.40,0.33
15 August 2020,10.19,0.47
16 August 2020,14.01,0.08
17 August 2020,6.72,0.58
18 August 2020,11.75,0.61
19 August 2020,12.57,0.38
20 August 2020,14.39,0.42
21 August 2020,7.32,0.69
22 August 2020,18.05,0.14
23 August 2020,15.48,0.21
24 August 2020,10.29,0.35
25 August 2020,17.29,0.34
26 August 2020,14.62,0.59
27 August 2020,14.17,0.98
28 August 2020,11.75,0.95
29 August 2020,7.53,1.09
30 August 2020,5.96,0.77
31 August 2020,13.21,0.42
