READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 December 2020,1.96,5.47
02 December 2020,2.56,15.90
03 December 2020,1.26,21.23
04 December 2020,1.43,19.43
05 December 2020,1.22,5.90
06 December 2020,2.52,13.07
07 December 2020,2.71,11.22
08 December 2020,3.60,9.58
09 December 2020,2.23,18.28
10 December 2020,1.75,19.09
11 December 2020,2.08,21.19
12 December 2020,0.75,21.52
13 December 2020,1.36,18.00
14 December 2020,1.29,20.25
15 December 2020,1.92,17.26
16 December 2020,5.82,8.14
17 December 2020,1.44,14.90
18 December 2020,2.75,9.52
19 December 2020,1.56,12.69
20 December 2020,5.47,16.64
21 December 2020,3.51,6.92
22 December 2020,5.66,3.30
23 December 2020,5.00,7.76
24 December 2020,5.60,11.45
25 December 2020,4.37,15.40
26 December 2020,5.79,18.99
27 December 2020,2.44,6.30
28 December 2020,3.72,14.27
29 December 2020,3.40,19.74
30 December 2020,3.38,17.74
31 December 2020,4.49,3.75
