READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 June 2020,0.27,0.20
02 June 2020,0.32,0.27
03 June 2020,0.27,0.43
04 June 2020,4.22,0.34
05 June 2020,0.26,0.48
06 June 2020,0.35,0.20
07 June 2020,0.29,0.48
08 June 2020,0.37,0.44
09 June 2020,0.24,0.45
10 June 2020,0.37,0.44
11 June 2020,0.50,0.41
12 June 2020,0.27,0.46
13 June 2020,0.98,0.24
14 June 2020,0.36,0.44
15 June 2020,0.43,0.48
16 June 2020,0.24,0.21
17 June 2020,0.33,0.43
18 June 2020,0.32,0.41
19 June 2020,0.24,0.41
20 June 2020,0.27,0.42
21 June 2020,1.70,0.28
22 June 2020,3.53,0.13
23 June 2020,3.41,0.17
24 June 2020,3.94,0.15
25 June 2020,3.39,0.34
26 June 2020,9.13,0.24
27 June 2020,9.77,0.30
28 June 2020,13.02,0.39
29 June 2020,17.38,0.24
30 June 2020,15.75,0.47
