READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 May 2020,Not available,Not available
02 May 2020,Not available,Not available
03 May 2020,Not available,Not available
04 May 2020,Not available,Not available
05 May 2020,Not available,Not available
06 May 2020,Not available,Not available
07 May 2020,0.29,0.00
08 May 2020,0.34,0.00
09 May 2020,0.41,0.00
10 May 2020,0.52,0.00
11 May 2020,0.35,0.00
12 May 2020,0.35,0.00
13 May 2020,0.35,0.00
14 May 2020,0.49,0.01
15 May 2020,0.25,0.72
16 May 2020,0.34,0.70
17 May 2020,0.30,0.68
18 May 2020,0.22,0.64
19 May 2020,0.23,0.40
20 May 2020,0.23,0.44
21 May 2020,0.28,0.44
22 May 2020,0.23,0.44
23 May 2020,0.42,0.40
24 May 2020,0.27,0.37
25 May 2020,0.23,0.56
26 May 2020,0.30,0.57
27 May 2020,0.32,0.41
28 May 2020,0.33,0.53
29 May 2020,0.23,0.51
30 May 2020,0.40,0.48
31 May 2020,0.33,0.43
