READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 November 2020,3.91,1.38
02 November 2020,4.58,1.76
03 November 2020,1.61,1.81
04 November 2020,4.39,0.26
05 November 2020,3.71,1.39
06 November 2020,3.19,0.80
07 November 2020,6.25,1.55
08 November 2020,3.11,2.17
09 November 2020,1.40,2.26
10 November 2020,1.00,2.16
11 November 2020,1.79,0.55
12 November 2020,1.31,1.50
13 November 2020,1.96,1.50
14 November 2020,1.98,1.75
15 November 2020,2.79,1.30
16 November 2020,1.78,2.29
17 November 2020,1.70,1.93
18 November 2020,2.21,2.24
19 November 2020,1.58,2.02
20 November 2020,1.41,1.89
21 November 2020,2.06,1.55
22 November 2020,1.52,1.10
23 November 2020,2.50,1.03
24 November 2020,1.44,0.93
25 November 2020,1.31,2.21
26 November 2020,1.65,1.67
27 November 2020,1.18,2.11
28 November 2020,1.60,0.74
29 November 2020,1.61,1.22
30 November 2020,2.04,2.28
