READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 October 2020,8.00,0.00
02 October 2020,6.39,0.00
03 October 2020,2.72,0.00
04 October 2020,4.41,0.00
05 October 2020,7.51,0.00
06 October 2020,10.42,0.00
07 October 2020,5.34,0.00
08 October 2020,9.77,0.00
09 October 2020,8.48,0.36
10 October 2020,8.33,1.45
11 October 2020,6.16,1.28
12 October 2020,5.85,1.61
13 October 2020,2.91,0.73
14 October 2020,2.52,1.84
15 October 2020,4.47,0.40
16 October 2020,5.54,1.72
17 October 2020,5.80,0.91
18 October 2020,9.15,0.67
19 October 2020,8.99,0.64
20 October 2020,4.09,0.84
21 October 2020,3.10,1.13
22 October 2020,3.04,1.67
23 October 2020,4.59,0.88
24 October 2020,7.18,0.61
25 October 2020,15.95,0.88
26 October 2020,7.64,1.41
27 October 2020,5.65,1.75
28 October 2020,5.16,1.63
29 October 2020,4.76,1.23
30 October 2020,3.89,1.18
31 October 2020,3.38,0.72
