READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
01 September 2020,10.32,0.92
02 September 2020,13.90,0.73
03 September 2020,9.41,0.79
04 September 2020,9.20,1.08
05 September 2020,9.76,0.84
06 September 2020,11.94,0.63
07 September 2020,6.45,1.23
08 September 2020,10.11,0.23
09 September 2020,10.09,0.92
10 September 2020,10.84,1.05
11 September 2020,7.45,1.04
12 September 2020,8.15,0.11
13 September 2020,8.47,0.96
14 September 2020,7.28,1.14
15 September 2020,4.80,1.38
16 September 2020,7.17,1.22
17 September 2020,6.28,0.58
18 September 2020,6.87,1.20
19 September 2020,3.86,0.83
20 September 2020,2.94,1.37
21 September 2020,5.86,0.51
22 September 2020,7.03,0.89
23 September 2020,9.36,0.84
24 September 2020,7.49,0.78
25 September 2020,15.29,0.35
26 September 2020,14.33,0.79
27 September 2020,6.37,1.49
28 September 2020,7.42,1.27
29 September 2020,9.30,0.98
30 September 2020,6.99,0.00
